"id","cycle","setting1","setting2","setting3","s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12","s13","s14","s15","s16","s17","s18","s19","s20","s21","ttf"
"78","61","0.0022","-0.0004","100","518.67","641.79","1588.09","1396.71","14.62","21.61","554.69","2387.98","9066.71","1.3","47.23","522.43","2388.01","8143.45","84.101","0.03","391","2388","100","39.06","23.425","170"
"78","62","0.0019","-0.0005","100","518.67","642.01","1579.61","1403.44","14.62","21.61","554.06","2388","9060.08","1.3","47.09","522.69","2387.97","8130.33","83.981","0.03","390","2388","100","39.01","23.296","169"
"78","63","-0.0012","-0.0005","100","518.67","641.76","1591.07","1399.13","14.62","21.61","554.65","2387.99","9052.95","1.3","47.16","521.85","2388.01","8137.87","83.804","0.03","391","2388","100","39","23.476","168"
"78","64","-0.0009","-0.0001","100","518.67","642.09","1579.69","1397.25","14.62","21.61","555.01","2387.99","9065.4","1.3","47.16","522.53","2388.02","8143.26","83.824","0.03","391","2388","100","39.02","23.527","167"
"78","65","0.0007","0.0004","100","518.67","642.49","1581.95","1394.86","14.62","21.61","554.71","2388.03","9057.72","1.3","47.09","522.36","2387.98","8138.39","83.967","0.03","392","2388","100","39.18","23.345","166"
"78","66","-0.0048","0.0001","100","518.67","641.69","1586.59","1399.64","14.62","21.61","554.08","2387.99","9057.62","1.3","47.39","522.5","2388.01","8139.06","84.035","0.03","391","2388","100","39.02","23.491","165"
"78","67","0.0039","-0.0005","100","518.67","642.1","1583.62","1393.91","14.62","21.61","554.74","2387.98","9058.16","1.3","47.32","522.05","2387.96","8141.37","83.868","0.03","391","2388","100","39","23.501","164"
"78","68","0.0021","0","100","518.67","642.18","1586.33","1399.83","14.62","21.61","554.25","2388.01","9054.23","1.3","47.14","521.93","2388.02","8139.98","83.729","0.03","390","2388","100","39.16","23.328","163"
"78","69","0.0021","-0.0002","100","518.67","641.81","1586.41","1389.95","14.62","21.61","554.23","2387.98","9051.31","1.3","47.24","522.32","2388.03","8140.6","83.898","0.03","392","2388","100","39.19","23.470","162"
"78","70","0.0005","0.0001","100","518.67","642.05","1585.08","1391.43","14.62","21.61","555.06","2387.98","9059.12","1.3","46.91","522.57","2388","8141.42","84.081","0.03","391","2388","100","38.93","23.491","161"
"78","71","-0.0021","0","100","518.67","642.1","1583.49","1397.47","14.62","21.61","554.73","2387.99","9060.24","1.3","47.2","522.17","2387.99","8145.6","84.295","0.03","391","2388","100","38.92","23.420","160"
"78","72","-0.0003","-0.0002","100","518.67","642.22","1575.4","1400.88","14.62","21.6","554.83","2388.01","9049.34","1.3","47.11","522.15","2387.97","8140.96","84.149","0.03","392","2388","100","39.08","23.437","159"
"78","73","0.0033","-0.0005","100","518.67","642.41","1588.83","1392.86","14.62","21.61","554.4","2387.96","9065.29","1.3","47.15","522.41","2388.07","8141.27","83.879","0.03","390","2388","100","39.05","23.472","158"
"78","74","-0.0001","0.0003","100","518.67","642.8","1585.88","1400.4","14.62","21.61","554.68","2388.01","9058.9","1.3","47.17","522.09","2388.02","8143.21","84.133","0.03","393","2388","100","39.16","23.429","157"
"78","75","0.0035","0.0004","100","518.67","642.06","1583.69","1399.97","14.62","21.61","554.16","2388.02","9058.56","1.3","47.05","522.18","2387.98","8140.46","83.839","0.03","389","2388","100","39.07","23.404","156"
"78","76","0.0004","0.0002","100","518.67","641.94","1585.62","1395.47","14.62","21.61","553.89","2388.02","9053.15","1.3","47.05","522.54","2387.99","8140.23","83.942","0.03","390","2388","100","39.27","23.377","155"
"78","77","-0.0014","0.0004","100","518.67","642.16","1583.03","1397.49","14.62","21.61","554.58","2388.02","9048.55","1.3","47.1","521.97","2388.04","8143.58","83.865","0.03","392","2388","100","38.92","23.315","154"
"78","78","0.0004","0.0003","100","518.67","642.81","1580.73","1400.32","14.62","21.6","554.48","2388.01","9063.79","1.3","47.28","522.26","2388.02","8142.55","83.838","0.03","391","2388","100","39","23.465","153"
"78","79","0.002","0.0003","100","518.67","642.43","1591.9","1397.93","14.62","21.61","554.91","2387.99","9056.98","1.3","47","522.55","2388.01","8139.63","84.298","0.03","391","2388","100","39.18","23.276","152"
"78","80","-0.006","0.0003","100","518.67","641.86","1587.43","1396.77","14.62","21.61","554.66","2387.98","9055.94","1.3","47.5","521.68","2387.94","8143.45","84.018","0.03","391","2388","100","39.03","23.333","151"
"78","81","-0.0021","-0.0004","100","518.67","641.52","1581.96","1405.43","14.62","21.61","554.32","2388.04","9053.82","1.3","47.14","523.04","2388.03","8136.96","84.06","0.03","392","2388","100","38.84","23.385","150"
